Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DataDrivenDemo,,,2018-11-13 17:47:51,2018-11-13 17:47:54,3.111s,FAILED
,,,,,,
Test Cases/DataDrivenDemoTest,,,2018-11-13 17:47:51,2018-11-13 17:47:53,1.750s,FAILED
"Statement - println(""... using username : "" + Username)",,,2018-11-13 17:47:52,2018-11-13 17:47:52,0.006s,PASSED
sendRequest,,,2018-11-13 17:47:52,2018-11-13 17:47:53,0.959s,FAILED
,,,,,,
Test Cases/DataDrivenDemoTest,,,2018-11-13 17:47:53,2018-11-13 17:47:53,0.221s,FAILED
"Statement - println(""... using username : "" + Username)",,,2018-11-13 17:47:53,2018-11-13 17:47:53,0.002s,PASSED
sendRequest,,,2018-11-13 17:47:53,2018-11-13 17:47:53,0.172s,FAILED
,,,,,,
Test Cases/DataDrivenDemoTest,,,2018-11-13 17:47:53,2018-11-13 17:47:54,0.255s,FAILED
"Statement - println(""... using username : "" + Username)",,,2018-11-13 17:47:53,2018-11-13 17:47:53,0.012s,PASSED
sendRequest,,,2018-11-13 17:47:53,2018-11-13 17:47:54,0.205s,FAILED
